mangaid,log_sflux_oiii4960,log_sflux_oiii5008
1-109308,47.2536,47.35091
1-113468,35.67453,14.44328
1-113476,44.07811,59.07097
1-113521,92.2571,235.6462
1-113668,36.09159,51.25763
1-113675,30.19838,58.1332
1-114973,6.838662,34.72821
1-121532,70.22619,239.8801
1-121737,15.95155,15.59667
1-121747,-21.00886,73.13311
1-133652,-5.432381,16.72162
1-134760,46.90138,-90.4751
1-134884,38.86792,74.78672
1-134978,5.384864,9.994044
1-134994,25.64187,40.5735
1-136292,10.95749,-22.36007
1-137548,-5.082469,17.26544
1-148086,16.70995,69.581
1-149270,9.005458,1.486751
1-156039,11.38874,4.781555
1-156158,37.79575,115.1794
1-167403,22.27416,84.90629
1-167519,13.98053,7.934775
1-173903,10.56884,34.12872
1-173904,12.70196,8.819206
1-174074,7.880394,41.44081
1-180153,41.11079,75.89024
1-180298,-39.84847,38.39619
1-180299,0.9734885,25.13417
1-180308,31.20196,99.8555
1-197718,14.50145,12.62029
1-197867,-1.331143,3.652373
1-201464,34.95322,81.84774
1-202100,30.33354,72.72216
1-205522,2.390708,23.23349
1-207943,-28.00275,-1.338591
1-209049,-8.422503,-7.475135
1-209607,21.9955,58.80094
1-210547,3.650586,-22.43255
1-210578,-3.283424,9.912356
1-210700,36.32943,78.77225
1-216984,7.103658,18.39017
1-217041,72.06123,93.10255
1-217376,-11.45403,2.087413
1-217499,32.4058,33.84368
1-218427,12.82304,-7.055542
1-221789,49.17324,11.46834
1-229078,3.017023,15.3488
1-22948,289.1992,880.6146
1-232720,-1.246187,20.62127
1-245940,8.577138,0.8269269
1-246177,6.040763,24.04573
1-246216,-61.02486,38.04641
1-251278,12.75733,35.67343
1-254532,17.79971,46.65715
1-254717,8.822696,19.8338
1-255890,-6.356692,60.87751
1-258425,9.818088,28.11411
1-258599,130.9162,2586.609
1-25911,3.986456,28.13819
1-25937,61.22812,24.97287
1-260377,8.095292,21.67435
1-260743,-120.6449,65.60384
1-265849,4.100405,5.212494
1-265907,5.584418,38.09972
1-266074,22.43199,49.53017
1-266106,-11.62635,-8.569238
1-266288,9.683127,2.797177
1-266328,8.349953,-17.8219
1-266817,14.27567,-16.85723
1-269632,246.448,763.6225
1-276590,9.076494,94.61223
1-277992,34.16137,39.88438
1-278075,47.8098,60.51099
1-279123,32.14933,6.877355
1-279314,-9.210055,0.03475792
1-281234,-32.11664,4.279132
1-282114,16.87014,-2.392019
1-284031,64.45305,19.73848
1-284293,254.9332,749.2232
1-286804,146.1375,447.5474
1-316296,25.69863,1.690254
1-316865,11.41081,46.58422
1-316933,4.744798,11.09852
1-320324,31.5713,12.47954
1-320677,8.603869,26.71006
1-322096,33.19954,44.47934
1-322113,23.11623,65.46871
1-338044,27.28296,-5.987967
1-338117,-2.237478,26.45975
1-338250,7.80219,54.0758
1-338279,5.911041,-0.5871065
1-338283,-13.90467,20.26011
1-338629,191.7309,640.8879
1-338822,-30.10793,22.65893
1-338922,90.28037,345.0689
1-339120,22.28561,57.41689
1-351716,-0.0445147,44.13209
1-351719,23.72469,147.7704
1-36877,-16.95543,3.475533
1-37679,15.88313,28.75132
1-377439,11.45192,11.42576
1-377471,2.718194,31.32159
1-377720,-2.636435,50.22012
1-377841,31.00027,100.1467
1-378168,29.8902,4.671031
1-378237,19.3695,69.02742
1-378360,-6.957327,20.13196
1-378770,43.36079,115.9431
1-38617,18.43219,4.890862
1-386272,-15.25992,31.84443
1-38663,8.174118,49.76014
1-394326,38.06423,97.90426
1-394382,7.057358,21.88976
1-402409,20.76564,64.98316
1-414400,15.09617,20.06473
1-419288,9.960772,26.32946
1-419607,-44.26592,15.30663
1-43214,1841.792,6344.681
1-44549,15.67517,32.2229
1-45291,29.45433,110.6266
1-45370,15.0944,16.15039
1-45787,21.01825,-12.11054
1-47511,40.56926,73.65954
1-47705,8.597911,51.66254
1-48410,-14.44539,4.94005
1-487379,70.4384,171.0353
1-48805,14.3616,69.74886
1-489644,16.20551,61.64375
1-491045,12.31238,58.21297
1-52169,0.444519,8.802459
1-52494,8.35999,23.28834
1-546894,26.91153,-4.348211
1-547210,53.52732,112.3555
1-547999,-0.6311823,48.06452
1-548001,23.60918,57.48793
1-548024,71.39361,367.5428
1-548074,7.096588,21.0733
1-548135,-34.4945,1.143749
1-548172,29.00485,24.12564
1-548622,3.341454,46.09289
1-550913,-12.06544,45.47149
1-55683,4.138981,9.892056
1-558115,19.13228,8.125254
1-558912,171.166,1168.183
1-564239,-17.27411,33.609
1-564477,1.961589,34.34288
1-567948,15.26402,68.39943
1-569042,4.678587,20.86748
1-569077,28.29705,60.53465
1-569162,6.511059,73.84818
1-574402,457.841,1323.864
1-576146,24.43895,15.76964
1-576188,14.3001,41.72587
1-576333,22.15018,-4.511382
1-609414,-18.71281,-17.76365
1-71481,8.508152,95.77473
1-72322,210.3676,1679.07
1-72928,0.7931885,15.07951
1-73184,-82.82067,71.54307
1-73584,30.09122,13.16881
1-73638,88.09793,139.0084
1-73667,9.945197,10.90311
1-93471,23.7137,20.55373
1-93872,17.66968,33.52006
1-93876,-0.6761589,12.08898
