mangaid,plateifu,nsa_z,flux
1-113521,7815-6103,0.135043,1823.2673255989193
1-25937,7991-12705,0.113153,2954833.1249252465
1-22948,7992-9102,0.119399,2028.8921528083852
1-548024,8132-6101,0.129403,3476035.7644638587
1-338629,8132-12703,0.116056,2390.393860940304
1-338922,8133-12704,0.134471,329.4039670328657
1-574402,8137-3702,0.131997,595.560345001054
1-72322,8143-6101,0.126168,699.4483455624577
1-73638,8244-12704,0.115137,12783872.600699369
1-284293,8318-6102,0.12908,980.6638303755694
1-286804,8329-6102,0.142887,922.2661678218624
1-156158,8439-3703,0.138619,1376.077286199315
1-487379,8448-3703,0.138746,1487.237260436692
1-258599,8464-6101,0.125582,2791.5556698278324
1-269632,9049-1901,0.131457,1398.8830107367094
