# mangaid     objra           objdec             nsa_z       W80_mean             W80_75th             frac_spx                flag1   flag2  
  1-109056    39.4465871047   0.405085157798     0.0473019   248.96453100732836   277.9552715715623    0.3422131147540984      1       4      
  1-109073    42.1567757009   -0.554292603774    0.0435882   197.0787568336116    203.07507987663718   0.5365079365079365      0       0      
  1-109081    41.694639931    -0.728826852116    0.0438592   ""                   ""                   0.0                     0       0      
  1-109112    41.3609282489   0.91013274057      0.0249702   ""                   ""                   0.0                     0       0      
  1-109167    42.2169259383   -0.524053160567    0.0246344   311.8522559095578    301.91693291393847   0.11357340720221606     0       0      
  1-109308    49.9495621925   -0.22114540619     0.131681    ""                   ""                   0.0                     1       2      
  1-109356    50.0738407878   0.523632230733     0.0241782   212.69195094764996   215.65495208138464   0.6227678571428571      0       0      
  1-109378    51.1699181501   -0.681472614144    0.0391104   366.2350765171584    417.531948890903     0.11394302848575712     0       0      
  1-109394    50.179936141    -1.0022917898      0.0361073   344.7013456848643    364.2172524041162    0.3218298555377207      0       0      
  1-109428    54.602285942    -0.0185818400418   0.0476594   ""                   ""                   0.0                     0       0      
  1-109493    56.4251416467   -0.378460418812    0.10932     ""                   ""                   0.0                     0       0      
  1-109521    54.5970661097   -1.18410023556     0.0490484   ""                   ""                   0.0                     0       0      
  1-113208    317.504479435   9.86822191739      0.0699044   ""                   ""                   0.0                     0       0      
  1-113219    317.374745914   10.0519434342      0.0408897   208.97743734704957   220.44728434985984   0.508421052631579       0       0      
  1-113375    316.639658795   10.7512221884      0.028215    187.87497256708411   194.98801917358523   0.19321533923303835     0       0      
  1-113379    316.541566803   10.3454195236      0.0171611   267.1758427571528    237.22044728952307   0.621342512908778       0       0      
  1-113403    316.964281103   11.2623177305      0.0715126   ""                   ""                   0.0                     1       2      
  1-113418    319.353761201   10.2316206875      0.0430806   ""                   ""                   0.0                     0       0      
  1-113468    317.918280237   9.34565198917      0.136342    ""                   ""                   0.0                     1       4      
  1-113469    317.943526819   9.27749462963      0.0394617   209.4323914744335    200.07987220884016   0.47362869198312235     0       0      
  1-113476    317.568825378   10.4088108392      0.118158    ""                   ""                   0.0                     0       0      
  1-113520    317.502202242   11.5106477077      0.0167652   293.9027286136168    313.59824281834676   0.27007299270072993     0       0      
  1-113521    317.388736588   11.5029226993      0.135043    299.8609632061667    286.341853041394     0.08402489626556017     0       0      
  1-113525    317.430068351   11.3552406345      0.0169457   ""                   ""                   0.0                     0       0      
  1-113525    317.430068351   11.3552406345      0.0169457   ""                   ""                   0.0                     0       0      
  1-113539    317.979595193   11.3794496273      0.0177002   ""                   ""                   0.0                     1       2      
  1-113540    317.903201533   11.4969433994      0.0293823   220.83299200394652   225.23961661833502   0.5467289719626168      0       0      
  1-113567    318.026426419   11.3451572409      0.0167432   198.51147255733918   206.07028754443417   0.5597964376590331      0       0      
  1-113567    318.026426419   11.3451572409      0.0167432   199.81909072104457   201.27795527595896   0.5969868173258004      0       0      
  1-113585    319.11342841    10.7676202056      0.070276    ""                   ""                   0.0                     0       0      
  1-113587    319.273361936   11.1201347053      0.0704926   259.80741571026476   263.57827476613676   0.4398364485981308      0       0      
  1-113647    319.814830226   10.070628454       0.0738563   189.1972843491777    192.89137380612735   0.23300970873786409     0       0      
  1-113651    319.233949063   9.63757525774      0.0708847   ""                   ""                   0.0                     0       0      
  1-113654    319.271463809   9.9723035679       0.0430694   253.98647878235823   255.19169329630512   0.26006191950464397     0       0      
  1-113663    318.804558778   9.91312455151      0.0316328   184.3204718644313    189.29712460477094   0.08441558441558442     1       2      
  1-113668    318.827736002   10.4968107833      0.129233    ""                   ""                   0.0                     0       0      
  1-113672    318.862286217   9.75781705378      0.0702278   797.2782010495976    1075.279552739126    0.11818181818181818     0       0      
  1-113675    318.775640877   10.0984558649      0.129881    448.9125092258224    354.6325878671658    0.14606741573033707     0       0      
  1-113698    319.194045241   11.5400106533      0.0167445   204.96637694547317   207.268370611553     0.6414565826330533      0       0      
  1-113700    319.451824118   11.6605961542      0.0378372   299.71937948066704   313.2987220515671    0.4038876889848812      0       0      
  1-113712    319.193098655   11.0437407875      0.0806967   412.7143050083337    501.09824282243954   0.5855670103092784      1       4      
  1-114073    324.895915071   11.2049630634      0.0402895   199.268074998949     201.277955275959     0.6450872359963269      0       0      
  1-114082    324.152525127   10.5067325085      0.0402683   201.55583766034772   213.25878594714698   0.5313131313131313      0       0      
  1-114121    323.466394588   10.0718531123      0.0879313   ""                   ""                   0.0                     0       0      
  1-114128    323.470604621   10.4397349551      0.077875    ""                   ""                   0.0                     0       0      
  1-114129    323.521211519   10.4218555682      0.0774097   258.304704110869     279.7523961722406    0.44840525328330205     1       4      
  1-114145    323.577092837   11.2143239831      0.0341885   284.4116080999248    289.63658147597073   0.030821917808219176    0       0      
  1-114171    323.296326308   10.6442039273      0.0881405   ""                   ""                   0.0                     0       0      
  1-114303    323.65768       11.42181           0.0220107   252.79552716206754   257.5878594305427    0.908485856905158       0       0      
  1-114306    323.742750886   11.296528361       0.0636505   191.48898911976784   194.08945687324615   0.3743730050159599      0       0      
  1-114325    324.094963475   12.2363038289      0.0288791   195.48091475119816   201.27795527595896   0.3402985074626866      0       0      
  1-114334    324.259707865   11.9062032693      0.0222473   249.7936262927782    263.57827476613676   0.716                   1       3      
  1-114454    324.586417578   11.3486728499      0.0888606   371.5555111902189    394.1693290820863    0.23853211009174313     1       2      
  1-114465    324.89155826    10.4834807378      0.0788547   638.079073496356     991.7132588075895    0.0339943342776204      0       0      
  1-114500    324.548678082   12.1942577854      0.0220849   219.83489370134646   219.249201282741     0.6084745762711864      0       0      
  1-114502    324.799320383   11.9393222318      0.0798058   ""                   ""                   0.0                     0       0      
  1-114532    325.161350811   11.7227434323      0.0902261   ""                   ""                   0.0                     0       0      
  1-114928    331.080925269   12.9683778244      0.0273478   327.5009984097046    343.5503194963169    0.11678832116788321     0       0      
  1-114955    332.602089837   11.7130772993      0.0922799   444.5511459219088    542.7316294048179    0.379108838568298       0       0      
  1-114956    332.798726703   11.8007324019      0.0270248   ""                   ""                   0.0                     0       0      
  1-114973    332.238573881   11.8776065621      0.12046     ""                   ""                   0.0                     0       0      
  1-114980    332.83066426    12.1847175842      0.0630915   267.8214856288492    272.26437700274806   0.19026047565118911     0       0      
  1-114998    332.756351306   12.3743026872      0.0614042   ""                   ""                   0.0                     0       0      
  1-115062    330.855372733   12.6758983985      0.0260569   ""                   ""                   0.0                     0       0      
  1-115085    331.802634213   13.2660525434      0.0349304   222.42789915000668   234.82428115528543   0.5381818181818182      0       0      
  1-115097    332.203447059   13.3647373417      0.0274473   283.1669329135292    317.49201278648286   0.08264462809917356     0       0      
  1-115128    332.481316937   12.8180504327      0.0358116   220.2344669629374    231.23003195392903   0.2611683848797251      0       0      
  1-115162    333.201842347   13.334120927       0.0738627   204.84166862702904   212.06070288002817   0.35068349106203994     0       0      
  1-115320    333.052045245   12.205190661       0.0275274   212.59947124080648   215.65495208138458   0.6049689440993788      0       0      
  1-121486    117.518331889   34.479317451       0.0290077   337.2659819129484    341.45367412885895   0.13408521303258145     0       0      
  1-121532    118.09111       34.32657           0.139965    389.8562300404586    445.38738020141517   0.3684210526315789      1       4      
  1-121598    119.117532641   34.7525277078      0.0714115   ""                   ""                   0.0                     0       0      
  1-121697    119.18781199    35.5041889433      0.0456332   ""                   ""                   0.0                     0       0      
  1-121717    118.803430825   35.5967997097      0.109778    ""                   ""                   0.0                     0       0      
  1-121735    118.318165157   35.5725757854      0.0457813   254.99333517261002   252.79552716206751   0.49508196721311476     0       0      
  1-121737    118.291306687   35.9325202653      0.113369    95.6148993747696     116.21405751052393   1.0558766859344895      0       0      
  1-121747    118.173710436   35.3209421817      0.130424    ""                   ""                   0.0                     0       0      
  1-121773    118.96543       36.31535           0.019982    191.8403657637997    197.68370607460255   0.49828178694158076     0       0      
  1-124604    141.34417921    50.5536812778      0.0253001   274.4001152917818    259.9840255647803    0.48782771535580527     0       0      
  1-133652    54.5266330298   0.824510054102     0.13901     ""                   ""                   0.0                     0       0      
  1-133922    239.195689664   47.9955208307      0.0174718   ""                   ""                   0.0                     0       0      
  1-133941    239.030589848   48.0308761201      0.0189045   247.04135355801802   245.6070287593547    0.13345864661654136     0       0      
  1-133945    238.881357667   47.677310104       0.0183248   ""                   ""                   0.0                     0       0      
  1-133948    238.891298957   48.0223923799      0.0195194   ""                   ""                   0.0                     0       0      
  1-133976    238.718472619   47.8808922742      0.0182938   228.93370607528468   242.31230032477796   0.11793611793611794     0       0      
  1-133987    239.334163047   48.2072621316      0.0195435   264.53674121983175   330.6709265247897    0.09803921568627451     0       0      
  1-134004    238.448582292   47.4049584412      0.0185601   262.5727407633763    264.17731629969614   0.36129032258064514     0       0      
  1-134020    238.046893627   48.0439162921      0.0193267   ""                   ""                   0.0                     0       0      
  1-134209    242.276471895   46.6712048189      0.0545042   464.2365319039308    481.629392981759     0.14646464646464646     0       0      
  1-134239    241.416442386   46.8465606897      0.0571086   255.77680363140962   221.64536741697862   0.14759725400457666     1       4      
  1-134248    241.005278975   46.8029102028      0.0212204   192.1698316443569    200.07987220884016   0.5741935483870968      0       0      
